question_id;question_text;answerA_text;answerA_action;answerA_flag;answerB_text;answerB_action;answerB_flag
11;Grając za wybrany profil, będziesz teraz robić około dziesięciu decyzji finansowych. Nie testujemy Ciebie, ale system, więc się nie martw a po prostu się baw. W lewej górnej części jest Twój profil, może Ci się przydają jakieś informacje. W prawej części jest aktualny stan twojego konta finansowego. Zaczynamy? Co wolisz kupić?;Kupon na Lotto na 10 gier za 40 złotych;-40;;Bilet do kina dla dwojga i popcorn za 70 złotych;-70;
12;Syn chce pod choinkę nowy telefon.;Kupię na allegro prawie nowy telefon za 1300 zł.;-1300;;Zrobię synowi niespodziankę i kupię mu nowego iPhone'a X za 5000 zł.;-5000;
13;Chcesz poprosić swoją dziewczynę o rękę.;Dotrzymam zasady trzech wypłat i kupię luksusowy pierścionek za 20 000 zł.;-20000;;Kupię tańszy, ale piękny pierścionek za 2300 zł.;-2300;
14;Jesteś głodny i chcesz iść na obiad.;Pójdę do zwykłej restauracji i zapłacę za obiad 15 zł.;-15;;Pójdę do restauracji z widokiem na Wisłę i zapłacę 250 zł.;-250;
15;Skończyła ci się marchewka.;Kupię kilogram eko-marchewki za 6 zł.;-6;;Kupię kilogram marchwi w Tesco za 1 zł.;-1;
16;Musisz się dostać na lotnisko.;Pojadę Uberem za 40 zł.;-40;;Wstanę wcześniej i pojadę autobusem za 5 zł.;-5;
17;Chcesz iść do teatru.;Kupię bilet w pierwszym rzędzie za 80 zł.;-80;;Usiądę z tyłu za 40 zł.;-40;
18;Podróżujesz pociągiem.;Będę stać całą drogę.;0;;Kupię miejscówkę za 5 zł.;-5;
19;Potrzebne ci są nowe buty.;Kupię sobie porządne, skórzane buty za 400 zł.;-400;;Kupię tanie buty za 100 zł.;-100;
20;Chcesz zmienić fryzurę.;Pójdę do najlepszego fryzjera w mieście i zapłacę 250 zł.;-250;;Pójdę od zwykłego fryzjera i zapłacę 50 zł.;-50;
21;Nie masz w domu żadnych kubków.;Kupię zwykłe kubki ceramiczne za 50 zł.;-50;;Kupię zestaw zdobionych porcelanowych filiżanek za 130 zł.;-130;
22;Koniecznie potrzebujesz 850 złotych.;Sprzedam stare książki.;0;;Wezmę pożyczkę w banku i zwrócę o 160 zł więcej.;-160;
23;Urodziło ci się drugie dziecko.;Będę nosiło ubranka po starszym dziecku.;0;;Kupię mu nowe ubranka za 320 zł.;-320;
24;Kupujesz świąteczne prezenty dla swojej rodziny.;Kupię każdemu luksusowy prezent razem za 550 zł.;-550;;Dla każdego wybiorę jakiś drobiazg lącznie do 100 zł.;-100;
25;Chcesz zacząć chodzić na siłownię.;Kupię miesięczny karnet za 160 zł.;-160;;Będę płacić jednorazowo za wstęp po 25 zł, pójdę w sumie cztery razy.;-100;
26;Zepsuł ci się odkurzacz.;Kupię zwykły odkurzacz za 500 zł.;-500;;Kupię i-robota za 2500 zł.;-2500;
27;Chcesz się nauczyć niemieckiego.;Zacznę chodzić na kurs za 250 zł miesięcznie.;-250;;Będę używać darmowych aplikacji do nauki języka.;0;
28;Musisz się przeprowadzić do większego miasta.;Wynajmę małe mieszkanie na obrzeżach miasta, kaucja jest 1000 zł.;-1000;;Wynajmę wielkie mieszkanie w centrum, kaucja jest 3000 zł miesięcznie.;-3000;
29;Córka chciałaby mieć większe kieszonkowe.;Powiem jej, żeby znalazła sobie dorywczą pracę.;0;;Bez namysłu podniosę jej kieszonkowe o 15 zł tygodniowo.;-60;
30;Twój przyjaciel ma urodziny.;Kupię mu drogie wino za 250 zł.;-250;;Kupię mu świetne skarpetki za 50 zł.;-50;
31;Niedługo będziesz wychodzić za mąż.;Kupuję przepiękną sukienkę za 7000 zł.;-7000;;Kupuję piękną, ale tańszą sukienkę za 1500 zł.;-1500;
32;Kupujesz samochód.;Znajdę na giełdzie auto w dobrym stanie za 16000 zł.;-16000;;Kupię sobie nowe, przestronne auto za 60 000 zł.;-60000;
33;Zepsuła ci się pralka.;Oddam ją do naprawy za 400 zł.;-400;;Kupię nową za 1300 zł.;-1300;
34;Chcesz mieć kota.;Zamówię rasowego Sfinksa za 2000 zł.;-2000;;Wezmę kota ze schroniska za 50 zł.;-50;
35;Wybierasz uczelnię.;Pójdę na prywatną uczelnię za 1600 zł miesięcznie.;-1600;;Złożę dokumenty na państwową uczelnię.;0;
36;Rozbiłeś szkło w okularach.;Kupię zwyczajne szkła za 130 zł.;-130;;Dopłacę za szkła antyrefleksyjne i zapłacę 250 zł.;-250;
37;Skończyło ci się masło.;Poczekam na promocję i kupię 10 kostek masła po 5 zł.;-50;;Zapłacę za dwie kostki masła 15 zł.;-15;
38;Jesteś w centrum handlowym.;Kupię tylko to czego potrzebuję za 130 zł.;-130;;Kupię wiele ładnych, ale zupełnie niepotrzebnych rzeczy za 350 zł.;-350;
39;Dziecko potrzebuje narty na szkolny obóz w górach.;Razem wybierzemy piękne, nowe narty za 600 zł.;-600;;Dam mu 130 zł na wypożyczenie nart w ośrodku.;-130;
40;Urządzasz imprezę.;Kupię przekąski i jedzenie za 75 zł.;-75;;Kupię produkty i sam przygotuję jedzenie za 40 zł.;-40;
41;Wyjeżdżasz na tydzień za granicę.;Ubezpieczę się w konkretnym terminie za 20 zł.;-20;;Pojadę bez ubezpieczenia.;0;
42;Zostały ci zabawki po dzieciach.;Wyrzucę je.;0;;Wystawię je na allegro i sprzedam za 300 zł.;-300;
43;Budujesz dom.;Zainwestuję w okna dobrej jakości ze świetną izolacją za 7500 zł.;-7500;;Wybiorę jak najtańsze okna za 3000 zł.;-3000;
44;Nie masz żadnego kremu do twarzy.;Kupię w drogerii tubkę kremu za 10 złotych.;-10;;Zamówię małe opakowanie drogiego kremu za 75 zł.;-75;
45;Chcesz przeczytać jakąś książkę.;Pożyczę coś w bibliotece.;0;;Kupię książkę w księgarni za 40 zł.;-40;
46;Zainteresowałeś się nowym filmem w kinach.;Załatwię sobie bilet na premierę za 60 zł.;-60;;Pójdę do kina kilka dni po premierze za 25 zł.;-25;
47;Pies rozszarpał ci pościel.;Zamówię piękną jedwabną pościel za 300 zł.;-300;;Kupię zwyczajną bawełnianą pościel za 100 zł.;-100;
48;Dekorujesz choinkę.;Użyję zeszłorocznych ozdób.;0;;Kupię nowy zestaw błyskotek na choinkę za 80 zł.;-80;
49;Szykujesz się na urlop z rodziną.;Spędzę tydzień w domku letniskowym za 1300 zł.;-1300;;Polecimy nad morze za 6000 zł.;-6000;
50;Chcesz mieć w domu basen.;Wybuduję ziemny basen za 15 000 zł.;-15000;;Kupię nadmuchiwany basen za 200 zł.;-200;
51;Zaciekawiła cię nowa gra komputerowa.;Ściągnę ją z internetu.;0;;Kupię grę za 130 zł.;-130;
52;Jesteś w kasynie.;Spróbuję szczęścia na automatach za 80 zł.;-80;;Dołączę do turnieju pokerowego za 800 zł.;-800;
53;Twoja córka chciałaby zacząć grać na skrzypcach.;Wynajmę prywatnego nauczyciela za 700 zł miesięcznie.;-700;;Zapiszę ją do kółka muzycznego za 80 zł miesięcznie.;-80;
54;Zbliża się twoja X rocznica ślubu.;Podaruję żonie biżuterię za 1600 zł.;-1600;;Wyjedziemy na wycieczkę za 400 zł.;-400;
55;Zepsuł ci się zamek błyskawiczy w kurtce.;Wymienię zamek za 25 zł.;-25;;Kupię nową kurtkę za 200 zł.;-200;
56;Chcesz zacząć biegać.;Kupię sobie bieżnię za 2500 zł.;-2500;;Zacznę biegać po parku.;0;
57;Twój kot musi na czymś tępić pazurki.;Kupię mu drapak za 150 zł.;-150;;Znajdę dla niego w ogrodzie jakąś większą gałąź.;0;
58;Twoja córka potrzebuje kostiumu na szkolne przedstawienie.;Kupię jej kostium księżniczki za 140 zł.;-140;;Uszyję jej kostium za 50 zł.;-50;
59;Załatwiasz internet do swojego mieszkania.;Zamówię tańszy wariant za 40 zł miesięcznie.;-40;;Zamówię najszybszy internet za 75 zł.;-75;
60;Przygotowujesz się do dłuższej podróży pociągiem.;Pojadę pierwszą klasą za 130 zł.;-130;;Wystarczy mi zwykły bilet za 75 zł.;-75;
61;Jesteś zmęczony i potrzebujesz kawy.;Kupię kawę w automacie za 3 zł.;-3;;Zamówię Frappuccino w Starbucksie za 20 zł.;-20;
62;Co si koupíš?;Boty za 2000 Kč.;-2000;;Večeři pro dva za 1200 Kč;-1200;
63;Jsi pozvaná na svatbu, budou tam tví přátelé i rodina. Co na sebe?;Kupuju nové šaty za 1200 Kč;-1200;;Půjdu ve starých šatech, ve kterých mě už několikrát viděli. Jenom zaplatím 300 Kč za drobnou opravu, protože jsem je minule roztrhla.;-300;
64;Na začátku zimy máš malou autonehodu, je potřeba jen vyrovnat nárazník.;Dám auto rychle do servisu, potřebuju ho k dojíždění do práce, platím 3000 Kč.;-3000;;Auto zatím neopravu, kupuju si měsíční kupón na MHD za 600 Kč.;-600;
65;Jsi na dovolené, co vybíráš?;Půjdeme na oběd vyzkoušet místní lahůtky za 1000 Kč.;-1000;;Kupuju si designérský kousek, na který narazím na promenádě, za 1500 Kč;-1500;
66;Kamarádovi chybí 1000 Kč, aby mohl zaplatit za nájem. Co uděláš?;Půjčuju mu 1000 Kč;-1000;;Nepůjčuju, ale dělám potřebné nákupy v drogerii za 300 Kč;-300;
67;Kamarádka má narozeniny:;Dám jí něco, o čem už dlouho básní, ale stojí to 900 Kč;-900;;Koupím jí nějakou ptákovinku za 200 Kč;-200;
68;Čemu dáváš přednost?;Prodat starou ledničku za 700 Kč;700;;Darovat starou ledničku chudým;0;
69;Už pár měsíců sníš o bundě své oblíbené značky, teď ji nacházíš ve výprodeji, a dokonce ve své velikosti.;Kupuju, ačkoliv i tak je drahá, po slevě stojí 2500 Kč;-2500;;Koupím jinou bundu v řetězci za 1300;-1300;
70;Onemocnělo ti dítě. Co dneska uděláš?;Kupuju léky pro dítě za 1000 Kč;-1000;no_debt;Platím fakturu za telefon;-400;debt_arised
71;Na druhém rande tě vzal nápadník na večeři do restaurace za 1500 Kč, zahráli jste kámen-nůžky-papír a tys prohrála. Co uděláš?;Beru ho do kina, celkově za 300 zł;-50;;Navrhuju hru Escape room, cell zábava za 500 Kč;-500;
72;Vžij se ro role svého profilu, budeš teď za něj hrát a rozhodovat se v přibližně 10 situacích, jak naložíš se svými penězi. Netestujeme tebe, ale systém, takže se nestresuj a prostě se bav. V levém horním rohu je tvůj profil, možná se ti z něho budou hodit nějaké informace. V pravém rohu je aktuální stav tvého konta a plánované výdaje za bydlení. Začínáme? Co raději koupíš?;Sportku na 10 losování za 200 Kč;-200;;Lístek do kina pro dva, plus popcorn a colu, celkem za 450 Kč;-450;
73;Syn by si přál k Vánocům nový telefon.;Koupím lehce používaný telefon na aukru za 8000 Kč.;-8000;;Udělám synovi radost a koupím mu nový Iphone X za 30 000 Kč.;-30000;
74;Chceš svoji přítelkyni požádat o ruku.;Dodržím pravidlo tří platů a koupím luxusní prsten za 120 000 Kč.;-120000;;Koupím levnější, ale přesto krásný zásnubní prsten za 14 000 Kč.;-14000;
75;Máš hlad a chceš jít na oběd.;Jdu do obyčejné restaurace a za oběd zaplatím 90 Kč.;-90;;Půjdu do restaurace s výhledem na Vltavu a zaplatím 400 Kč.;-400;
76;Došly ti mrkve.;Koupím kilo mrkví v BIO kvalitě za 35 Kč.;-35;;Koupím kilo mrkví v Tescu za 10 Kč.;-10;
77;Potřebuješ se dostat na letiště.;Pojedu Uberem za 250 Kč.;-250;;Přivstanu si a pojedu autobusem 32 Kč.;-32;
78;Chceš jít do divadla.;Koupím si lístek v první řadě za 500 Kč.;-500;;Budu sedět vzadu za 250 Kč.;-250;
79;Cestuješ vlakem.;Budu stát celou cestu.;0;;Koupím si místenku za 40 Kč.;-40;
80;Potřebuješ nové boty.;Koupím si kvalitní kožené boty za 2500 Kč.;-2500;;Koupím si levné boty za 600 Kč.;-600;
81;Chceš změnit účes.;Jdu do nejlepšího kadeřnictví ve městě a zaplatím 1500 Kč.;-1500;;Jdu do běžného kadeřniství a zaplatím 400 Kč.;-400;
82;Nemáš doma žádné hrnky.;Koupím obyčejné keramické hrnky za 300 Kč.;-300;;Koupím sadu zdobených porcelánových hrnků za 800 Kč.;-800;
83;Nutně potřebuješ 5000 Kč.;Prodám staré knihy.;0;;Půjčím si od banky a vrátím o 1000 Kč více.;-1000;
84;Narodilo se ti druhé dítě.;Budu ho oblékat do věcí po starším sourozenci.;0;;Koupím mu nové oblečení za 2000 Kč.;-2000;
85;Nakupuješ vánoční dárky pro svou rodinu.;Každému kopím luxusní dárek, celkem za 2000 Kč.;-2000;;Pro každého člena vyberu jen drobnost, celkem do 400 Kč.;-400;
86;Začneš chodit do fitka.;Koupím si permanentku za 1000 Kč.;-1000;;Budu platit jednotlivé vstupy za 150 Kč.;-150;
87;Rozbil se ti vysavač.;Koupím si běžný vysavač za 3000 Kč.;-3000;;Koupím robotický vysavač za 15 000 Kč.;-15000;
88;Chceš se naučit německy,;Začnu chodit na kurzy za 1500 Kč měsíčně.;-1500;;Využiji výukové aplikace v telefonu zdarma.;0;
89;Potřebuješ se přestěhovat do většího města.;Pronajmu si malý byt na okraji města, kauce je 6000 Kč.;-6000;;Pronajmu si velký byt v centru, kauce je 18 000 Kč.;-18000;
90;Dcera by si přála zvýšit kapesné.;Řeknu jí, že si musí najít brigádu.;0;;Bez váhání jí navýším kapesné o 100 Kč týdně.;-400;
91;Tvůj blízký kamarád má narozeniny.;Koupím mu drahou láhev vína za 1500 Kč.;-1500;;Koupím hezké ponožky za 300 Kč.;-300;
92;Brzy se budeš vdávat.;Koupím si překrásné šaty za 30000 Kč.;-30000;;Koupím si pěkné, ale levnější šaty za 10000 Kč;-10000;
93;Kupuješ si auto.;Najdu si zachovalé auto v bazaru za 100 000 Kč.;-100000;;Koupím si nové prostorné auto za 360 000 Kč.;-360000;
94;Pokazila se ti pračka.;Nechám ji opravit za 2500 Kč.;-2500;;Objednám si novou za 8000 Kč.;-8000;
95;Chceš si pořídit kočičku.;Zamluvím si čistokrevnou Sphynx za 12 000 Kč.;-12000;;Vezmu si kotě z útulku za 300 Kč.;-300;
96;Vybíráš si vysokou školu.;Půjdu na soukromou školu za 10 000 Kč měsíčně.;-10000;;Přihlásím se na státní vysokou školu.;0;
97;Rozbila se ti skla u brýlí.;Koupím si běžná skla za 800 Kč.;-800;;Připlatím si za antireflexní vrstvu a zaplatím 1500 Kč.;-15000;
98;Došlo ti máslo.;Počkám na slevovou akci a koupím pět kostek másla po 40 Kč.;-200;;Zaplatím za kostky másla 120 Kč.;-120;
99;Jsi v nákupním centru.;Koupím pouze to, co potřebuji, za 800 Kč.;-800;;Koupím i mnoho dalších hezkých věcí, které mi jsou ale k ničemu, celkem za 2000 Kč.;-2000;
100;Dítě potřebuje lyže na školní kurz na horách.;Vybereme spolu krásné nové lyže za 3500 Kč.;-3500;;Dám mu 800 Kč na půjčení lyží ve středisku.;-800;
101;Pořádáš oslavu.;Nakoupím zákusky a jídlo za 450 Kč.;-450;;Nakoupím suroviny a upeču vlastní za 250 Kč.;-250;
102;Odjíždíš na týden do zahraničí.;Sjednám si na danou dobu cestovní pojištění za 120 Kč.;-120;;Pojedu bez cestovního pojištění.;0;
103;Zbyly mi po dětech hračky.;Vyhodím je.;0;;Nabídnu je na internetu a prodám za 2000 Kč.;2000;
104;Stavíš dům.;Investuji do kvalitních oken s dokonalou izolací za 45 000 Kč.;-45000;;Zvolím co nejlevnější okna za 18 000 Kč.;-18000;
105;Nemáš žádný pleťový krém.;Koupím si jednu tubu krému v drogerii za 70 Kč.;-70;;Objednám si malé balení luxusního krému za 450 Kč.;-450;
106;Chceš si přečíst nějakou knihu.;Půjčim si něco v knihovně.;0;;Koupím si knihu v knihkupectví za 250 Kč.;-250;
107;Zaujal tě nový film v kinech.;Seženu si lístek na premiéru za 350 Kč.;-350;;Do kina půjdu o pár dní později za 160 Kč.;-160;
108;Tvůj pes ti rozkousal povlečení.;Objednám krásné damaškové povlečení od Matějovského za 1900 Kč.;-1900;;Koupím si obyčejné bavlněné povlečení za 600 Kč.;-600;
109;Zdobíš vánoční stromeček.;Použiji ozdoby z minulého roky.;0;;Koupím novou sadu třpytivých ozdob za 500 Kč.;-500;
110;Chystáš se s rodinou na dovolenou.;Strávíme týden na chatě za 8000 Kč.;-8000;;Poletíme k moři za 24 000 Kč.;-24000;
111;Chceš mít doma bazén.;Nechám si vybudovat bazén v zemi za 90 000 Kč.;-90000;;Koupím nafukovací bazén za 1200 Kč.;-1200;
112;Zaujala tě nová počítačová hra.;Stáhnu si ji na internetu.;0;;Koupím si hru za 800 Kč.;-800;
113;Jsi v kasinu.;Vyzkouším své štěstí na automatech za 500 Kč.;-500;;Přihlásím se do turnaje v pokeru za 5 000 Kč.;-5000;
114;Tvoje dcera by chtěla začít hrát na house.;Zaplatím pro ni soukromého učitele za 4000 Kč měsíčně.;-4000;;Přihlásím ji do hudebního kroužku za 500 Kč měsíčně.;-500;
115;Blíží se 10. výročí vaší svatby.;Daruji drahý šperk za 10 000 Kč.;-10000;;Uděláme si hezký výlet za 2500 Kč.;-2500;
116;Rozbil se ti zip u bundy.;Nechám si zip vyměnit za 150 Kč.;-150;;Koupím si novou bundu za 1200 Kč.;-1200;
117;Chceš začít běhat.;Koupím si běžecký pás za 15 000 Kč.;-15000;;Začnu chodit běhat do parku.;0;
118;Tvoje kočka si potřebuje brousit drápky.;Koupím jí škrabadlo za 900 Kč.;-900;;Najdu pro ni venku nějakou větší větev.;0;
119;Tvoje dcera potřebuje kostým do školní hry.;Koupím jí kostým princezny za 850 Kč.;-850;;Kostým pro ni ušiju za 300 Kč.;-300;
120;Zařizuješ internet pro tvou domácnost.;Objednám si levnější variantu za 250 Kč měsíčně.;-250;;Zaplatím si nejrychlejší připojení za 450 Kč měsíčně.;-450;
121;Chystáš se na delší cestu vlakem.;Pojedu první třídou za 800 Kč.;-800;;Vystačím si s běžnou jízdenkou za 450 Kč.;-450;
122;Jsi unavený(á) a potřebuješ kávu.;Koupím si kávu v automatu za 15 Kč.;-15;;Objednám si Frappuccino ve Starbucks za 130 Kč.;-130;
123;What do you buy?;Shoes for 350 USD;-350;;Dinner for couple for 250 USD;-1200;
124;You are invited to a wedding, there will be your friends and family. What about dress?;I buy new dress for 1000 USD;-1000;;I'll go in an old dress. I'll just pay 50 USD for a minor repair because I broke it last.;-50;
125;At the beginning of winter, you have a small car accident, you just need to repair the bumper.;I give my car to the service quickly, I need it to commute to work, I pay 250 USD.;-250;;I do not fix the car yet, I buy a monthly coupon for public transport for 50 USD;-50;
126;You are on holiday, what do you choose?;We go for lunch to try local delicacies for 50 USD;-50;;I buy a designer piece which I find in the promenade for 150 USD;-150;
127;Your friend is missing 200 USD to pay for rent. What will you do?;I lend him 200 USD;-200;;I do not lend, but I do the necessary shopping in the drugstore for 50 USD;-50;
128;Your friend has a birthday:;I'll give her something she's been saying for a long time, but it costs 100 USD;-100;;I'll buy her a teddy for 20 USD;-20;
129;What do you prefer?;To sell an old fridge for 50 USD;-50;;Give the old fridge to the poor people;0;
130;For a few months you have dreamed of the jacket of your favorite brand, now you find it in the sale, and even in your size.;I buy, even though it is expensive, after the sale it costs 400 USD;-400;;I'll buy another jacket for 100 USD;-100;
131;Your baby got sick. What do you do today?;I buy medicines for a child for 50 USD;-150;no_debt;I pay for a phone bill;-99;debt_arised
132;You were in the expensive restaurant on the second date. Now you should pay for entertainment. ;I take us to the cinema, for a total of 30 USD;-30;;I propose Escape room, entertainment for 60 USD;-60;
133;Get into the role of your profile, you will now play for it and decide in about 10 situations how to deal with your money. We're not testing you, but the system, so do not stress and just have fun. In the upper left corner is your profile, maybe you'll get some useful information from it. The right corner of your account is the current state of your account and planned spending on housing. Can we start? What do you prefer to buy?;Lottery for 10 draws for 40 USD;-40;;Ticket to the cinema for two, plus popcorn and cola, for a total of 35 USD;-35;
134;Your son wants to get a new phone for Christmas.;I buy a slightly used phone on Ebay for 350 USD.;-350;;I will surprise him and give him a brand new Iphone X for 1000 USD.;-1000;
135;You want to propose to your girlfriend.;I stick to the three months gross salary rule and purchase a ring for 20 000 USD.;-20000;;I buy a cheaper, yet beautiful engagement ring for 2500 USD.;-2500;
136;You are hungry and want to get a lunch.;I go to a cheap restaurant and pay 15 USD for a meal.;-15;;I go to a restaurant with sea view and pay 50 USD for a lunch.;-50;
137;You have run out of carrots.;I buy 3 lbs of organic carrots for 6 USD.;-6;;I go to Walmart and buy 3 pounds of carrots for 3 USD.;-3;
138;You need to get to the airport.;I ride with Uber for 20 USD.;-20;;I will get up earlier and ride a bus for 3 USD.;-3;
139;You want to go to the theatre.;I will sit in the front line for 40 USD.;-40;;I will sit in the back for 20 USD.;-20;
140;You are travelling by train.;I will stand in the hallway the whole ride.;0;;I reserve a seat for 5 USD.;-5;
141;You need new shoes.;I buy a pair of leather shoes for 120 USD.;-120;;I buy cheap shoes for 40 USD.;-40;
142;You want a new haircut.;I go to the best hair salon in city and pay 75 USD for a new haircut.;-75;;I go to an ordinary hairdresser for 25 USD.;-25;
143;You don't have any mugs at home.;I buy a few ceramic mugs for 20 USD.;-20;;I buy a set of fancy porcelain mugs for 60 USD.;-60;
144;You necessarily need 300 USD.;I sell some old books.;0;;I take a loan and repay 400 USD.;-400;
145;Your second child was born.;I will dress him with the clothing after his older sibling.;0;;I will buy him new clothes for 150 USD.;-150;
146;You are buying Christmas gifts for your family.;I will buy a luxury gift for everyone for 180 USD each.;-180;;I buy just a few small gifts for 40 USD each.;-40;
147;You start to go to the gym.;I get a membership card for 45 USD.;-45;;I pay the fee for each entry separately for 8 USD each, I will go 4 times;-32;
148;Your vacuum cleaner is broken.;I buy a regular one for 200 USD.;-200;;I purchase a robot vacuum cleaner for 600 USD.;-600;
149;You want to learn to speak German.;I start to attend German classes for 200 USD per month.;-200;;I download free educational apps.;0;
150;You need to move to a bigger city.;I rent a small apartment outside of centre, deposit  for 1200 USD is needed.;-1200;;I rent a large apartment in the city centre deposit  for 1900 USD is needed.;-1900;
151;Your daughter would like to increase her pocket money.;I tell her to get herself a part-time job.;0;;I increase her pocket money by 10 USD per week immediately.;-40;
152;It's your friend's birthday tomorrow.;I will purchase an expensive bottle of wine for 70 USD.;-70;;I buy him some nice socks for 20 USD.;-20;
153;You are going to get married soon.;I will buy a wedding dress from designer for 3000 USD;-3000;;I will buy a cheaper wedding dress for 500 USD;-500;
154;You are buying a new car.;I buy a used car for 6000 USD.;-6000;;I get a new large car for 12 000 USD.;-12000;
155;Your washing machine is broken.;I get it repaired for 150 USD.;-150;;I order a new one for 600 USD.;-600;
156;You want to get a cat.;I adopt a purebred Sphynx for 1000 USD.;-1000;;I choose a kitten in the shelter for 50 USD.;-50;
157;You are going to college.;I choose a state university for 20 000 USD per year.;-20000;;I go to a private university with a year tuition of 50 000 USD.;-50000;
158;Your glasses are broken.;I buy regular glasses for 60 USD.;-60;;I want anti-reflective coating and pay 110 USD in total.;-110;
159;You have run out of butter.;I will wait for a discount and buy four for 10 USD.;-10;;I pay 8 USD for two sticks of butter.;8;
160;You are in a mall.;I buy only the things I need for 45 USD.;-45;;I also buy a lot of pretty stuff that is actually useless to me for 110 USD in total.;-110;
161;Your child needs skis for a school mountain trip.;We choose beautiful new skis together for 180 USD.;-180;;I give him 40 USD to rent skis from the ski center.;-40;
162;You are hosting a party.;I order food and desserts for 60 USD.;-60;;I bake my own and spend only 25 USD in the grocery store.;-25;
163;You are leaving your country for a week.;I arrange a travel insurance for 45 USD.;-45;;I travel without insurance.;0;
164;I have some leftover toys.;I throw them out.;0;;I post them on Craigslist and sell them for 80 USD.;80;
165;You are building a house.;I invest in windows with perfect heat isolation for 4500 USD.;-4500;;I choose the cheapest windows for 1200 USD.;-1200;
166;You don't have any lotion.;I buy a bottle of lotion in the drugstore for 6 USD.;-6;;I order a small package of a luxury cream for 45 USD.;-45;
167;You would like to read a book.;I will go to the library.;0;;I purchase a book in the bookstore for 10 USD;-10;
168;You are interested in an upcoming movie.;I book a ticket for the premiere for 40 USD.;-40;;I will go to the cinema a few days later for 12 USD.;-12;
169;Your dog has torn your bed sheets apart.;I order beautiful damask bedding for 75 USD.;-75;;I buy some ordinary cotton bed sheets for 25 USD.;-25;
170;You are decorating a Christmas tree.;I will use the same tree decorations as last year.;0;;I purchase a new set of shiny decorations for 30 USD.;-30;
171;You are planning a vacation with your family.;We spend the holidays on a cottage for 450 USD.;-450;;We fly to Spain for a week for 1400 USD.;-1400;
172;You would like to have a pool at home.;I will build an inground pool for 21 000 USD.;-21000;;I order an inflatable above-ground pool for 250 USD.;-250;
173;You want to play a new computer game.;I download it on the internet.;0;;I pay for the game for 35 USD.;-35;
174;You are in a casino.;I try my luck for 25 USD.;-25;;I join a poker tournament for 500 USD.;-500;
175;Your daughter wants to learn to play the violin.;I hire a private teacher for 250 USD per month.;-250;;I sign her up for a music lesson for 40 USD per month.;-40;
176;It's your 10th wedding anniversary.;I gift my spouse an expensive jewelry for 450 USD.;-450;;We go on a nice trip together for 200 USD.;-200;
177;The zipper on your jacket is broken.;I get it fixed for 12 USD.;-12;;I buy a new jacket for 75 USD.;-75;
178;You would like to start running.;I purchase a treadmill for 550 USD.;-550;;I start to go running to the park.;0;
179;Your cat needs something for scratching.;I buy a scratching post for her for 60 USD.;-60;;I find a tree branch outside and bring it home.;0;
180;Your daughter needs a costume for a school play.;I order a princess costume for 50 USD.;-50;;I sew the costume myself for 15 USD.;-15;
181;You are choosing internet connection for your home.;I pick the average speed for 35 USD per month.;-35;;I want the fastest connection for a fee of 55 USD per month.;-55;
182;You are going on a long train ride.;I reserve a seat in the business class for 55 USD.;-55;;I choose the cheaper option for 32 USD.;-32;
